Institute Id,Institute Name,City,State,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18,Score_17,Rank_17,TLR_17,RPC_17,GO_17,OI_17,Perception_17,Score_16,Rank_16,TLR_16,RPC_16,GO_16,OI_16,Perception_16
IR-M-U-0102,Indian Institute of Foreign Trade,New Delhi,Delhi,56.59,25.0,79.06,18.18,85.64,59.54,43.41,55.01,26.0,74.9,18.22,86.23,58.0,40.15,50.56,31.0,65.64,15.32,85.76,58.31,32.87,51.11,23.0,65.86,18.89,81.01,58.68,36.07,46.79,30.0,55.34,22.58,72.16,55.03,34.93,,,,,,,
IR-M-I-1064,International Management Institute,New Delhi,Delhi,56.26,26.0,68.62,31.02,87.5,70.06,18.54,54.65,28.0,70.75,27.85,85.77,66.38,12.88,52.17,27.0,69.42,21.74,84.01,67.38,12.82,,,,,,,,48.23,27.0,70.4,17.11,75.72,59.69,8.75,,,,,,,
IR-M-I-1408,International Management Institute,Kolkata,West Bengal,47.48,52.0,69.51,12.48,79.77,63.36,5.93,46.22,52.0,69.83,9.6,75.77,63.17,9.23,45.44,45.0,69.19,9.47,70.92,62.92,13.73,,,,,,,,40.4,49.0,67.42,12.58,56.58,48.85,1.92,77.16,12.0,88.58,85.74,85.53,55.39,37.0
IR-M-U-0012,ICFAI Foundation for Higher Education,Hyderabad,Telangana,55.82,27.0,73.96,31.74,76.98,75.99,11.11,55.21,25.0,70.7,34.08,72.38,76.2,16.78,52.74,26.0,70.43,23.87,78.18,77.56,10.45,51.16,22.0,66.42,24.96,79.55,71.73,6.61,,,,,,,,,,,,,,
IR-M-S-8895,Indian Institute of Management Rohtak,Rohtak,Haryana,55.4,28.0,56.43,35.03,88.05,75.82,27.67,55.91,21.0,63.8,32.83,88.68,71.99,19.85,53.11,23.0,59.9,28.95,88.61,66.21,21.13,50.33,27.0,53.21,33.93,88.24,52.01,13.37,51.16,19.0,63.67,26.86,81.84,69.04,7.35,72.37,19.0,77.54,82.24,85.74,48.52,43.0
IR-M-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,55.09,29.0,68.77,46.74,67.7,56.34,12.71,47.35,41.0,65.72,32.47,51.86,64.14,11.1,44.93,49.0,60.87,25.19,59.49,64.68,7.43,42.78,48.0,62.2,20.67,52.14,69.5,5.37,,,,,,,,,,,,,,
IR-M-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,54.54,30.0,72.69,43.64,59.17,53.32,24.84,53.71,29.0,72.92,44.32,53.02,56.63,22.71,49.94,32.0,72.05,41.34,49.23,35.6,25.08,,,,,,,,,,,,,,,,,,,,,
IR-M-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,54.35,31.0,76.28,21.5,80.13,76.37,13.48,52.15,32.0,72.68,17.87,77.97,74.64,19.35,50.95,30.0,73.95,16.97,76.73,67.43,15.92,49.31,30.0,70.84,18.43,77.91,61.68,7.82,50.43,22.0,69.11,15.48,77.6,70.6,24.83,,,,,,,
IR-M-S-156,T. A. Pai Management Institute Manipal,Manipal,Karnataka,54.08,32.0,66.02,26.94,86.13,67.85,21.81,54.85,27.0,71.19,23.44,85.65,69.71,23.62,48.55,33.0,58.97,19.19,85.0,66.75,14.17,,,,,,,,,,,,,,,,,,,,,
IR-M-S-8967,Indian Institute of Management Kashipur,Kashipur,Uttarakhand,53.1,33.0,65.05,26.53,86.13,62.1,21.81,52.07,33.0,67.09,24.88,84.06,60.48,16.24,52.76,25.0,75.23,18.57,85.9,60.66,13.73,51.2,20.0,75.51,15.24,89.18,51.34,10.13,51.07,20.0,77.81,7.97,82.97,75.17,12.26,70.11,21.0,62.91,78.33,77.72,48.14,89.0
IR-M-U-0715,Xavier University,Bhubaneswar,Odisha,53.05,34.0,68.29,22.13,91.99,53.96,21.18,,,,,,,,45.7,44.0,55.76,11.59,89.04,48.15,28.69,46.76,36.0,59.11,18.22,89.56,46.88,9.56,44.85,33.0,54.06,21.69,82.08,47.74,9.35,,,,,,,
IR-M-S-87,Goa Institute of Management,Sanquelim,Goa,52.75,35.0,71.6,17.3,84.98,75.12,15.73,46.63,48.0,66.07,12.54,74.21,68.63,13.46,44.72,50.0,61.06,8.91,78.31,67.44,13.28,,,,,,,,44.06,37.0,66.57,2.75,81.36,65.2,4.69,,,,,,,
IR-M-U-0108,Jamia Millia Islamia,New Delhi,Delhi,52.39,36.0,65.25,32.45,75.78,67.99,11.11,51.41,34.0,65.78,27.65,75.45,73.76,9.23,48.42,34.0,64.0,22.83,72.93,69.86,7.95,47.08,34.0,62.14,24.75,70.39,65.33,4.09,,,,,,,,,,,,,,
IR-M-U-0379,Lovely Professional University,Phagwara,Punjab,51.85,37.0,73.17,33.66,57.63,67.66,14.99,46.58,49.0,71.79,21.32,57.99,70.53,0.0,44.08,52.0,68.43,18.8,53.43,70.36,1.84,44.75,38.0,61.13,21.31,60.51,75.75,3.44,,,,,,,,,,,,,,
